event_id,customer_id,event_date,event_type,channel
E00001,C0113,2026-05-04,CART,EMAIL
E00002,C0118,2026-02-14,PRODUCT_VIEW,MOBILE
E00003,C0051,2026-05-15,LOGIN,MOBILE
E00004,C0104,2026-07-07,PRODUCT_VIEW,MOBILE
E00005,C0078,2026-02-12,SEARCH,MOBILE
E00006,C0108,2026-02-12,SEARCH,MOBILE
E00007,C0092,2026-03-22,PRODUCT_VIEW,WEB
E00008,C0027,2026-03-04,LOGIN,EMAIL
E00009,C0045,2026-02-19,PRODUCT_VIEW,EMAIL
E00010,C0084,2026-06-26,SEARCH,EMAIL
E00011,C0089,2026-02-28,LOGIN,EMAIL
E00012,C0015,2026-05-12,SEARCH,MOBILE
E00013,C0075,2026-03-17,CART,EMAIL
E00014,C0096,2026-03-27,LOGIN,MOBILE
E00015,C0104,2026-08-07,SEARCH,WEB
E00016,C0004,2026-05-05,PRODUCT_VIEW,WEB
E00017,C0086,2026-07-27,PRODUCT_VIEW,MOBILE
E00018,C0097,2026-06-30,LOGIN,EMAIL
E00019,C0033,2026-07-04,PAGE_VIEW,EMAIL
E00020,C0101,2026-05-27,PRODUCT_VIEW,EMAIL
E00021,C0005,2026-05-11,CART,WEB
E00022,C0079,2026-02-19,SEARCH,WEB
E00023,C0096,2026-02-26,SEARCH,MOBILE
E00024,C0031,2026-04-02,LOGIN,EMAIL
E00025,C0086,2026-07-29,CART,MOBILE
E00026,C0054,2026-02-16,LOGIN,EMAIL
E00027,C0007,2026-08-07,LOGIN,WEB
E00028,C0080,2026-04-19,PRODUCT_VIEW,EMAIL
E00029,C0091,2026-02-26,LOGIN,EMAIL
E00030,C0070,2026-03-09,PRODUCT_VIEW,EMAIL
E00031,C0025,2026-05-27,CART,WEB
E00032,C0088,2026-07-22,PRODUCT_VIEW,WEB
E00033,C0095,2026-04-01,PAGE_VIEW,MOBILE
E00034,C0006,2026-04-23,LOGIN,EMAIL
E00035,C0034,2026-07-08,PRODUCT_VIEW,EMAIL
E00036,C0109,2026-06-06,PAGE_VIEW,MOBILE
E00037,C0060,2026-07-02,PAGE_VIEW,WEB
E00038,C0119,2026-05-20,SEARCH,WEB
E00039,C0100,2026-03-03,SEARCH,EMAIL
E00040,C0039,2026-04-07,SEARCH,EMAIL
E00041,C0046,2026-07-23,LOGIN,EMAIL
E00042,C0029,2026-06-24,SEARCH,WEB
E00043,C0101,2026-04-03,PRODUCT_VIEW,MOBILE
E00044,C0070,2026-03-26,CART,WEB
E00045,C0045,2026-06-15,PRODUCT_VIEW,EMAIL
E00046,C0043,2026-05-18,LOGIN,MOBILE
E00047,C0028,2026-03-05,SEARCH,MOBILE
E00048,C0072,2026-02-25,PAGE_VIEW,WEB
E00049,C0086,2026-05-14,CART,WEB
E00050,C0116,2026-02-27,SEARCH,EMAIL
E00051,C0032,2026-07-31,LOGIN,MOBILE
E00052,C0118,2026-07-12,CART,MOBILE
E00053,C0070,2026-05-30,PAGE_VIEW,EMAIL
E00054,C0106,2026-05-07,SEARCH,EMAIL
E00055,C0058,2026-04-08,PAGE_VIEW,MOBILE
E00056,C0115,2026-02-25,PRODUCT_VIEW,MOBILE
E00057,C0066,2026-07-20,PAGE_VIEW,WEB
E00058,C0099,2026-03-26,SEARCH,WEB
E00059,C0081,2026-07-25,PRODUCT_VIEW,EMAIL
E00060,C0081,2026-06-17,CART,WEB
E00061,C0027,2026-03-26,CART,EMAIL
E00062,C0105,2026-07-23,PRODUCT_VIEW,WEB
E00063,C0059,2026-05-18,PAGE_VIEW,WEB
E00064,C0010,2026-07-28,PRODUCT_VIEW,MOBILE
E00065,C0072,2026-07-23,SEARCH,WEB
E00066,C0117,2026-06-05,CART,MOBILE
E00067,C0058,2026-03-02,CART,MOBILE
E00068,C0041,2026-08-06,CART,EMAIL
E00069,C0016,2026-03-27,PAGE_VIEW,EMAIL
E00070,C0093,2026-03-05,PAGE_VIEW,EMAIL
E00071,C0075,2026-07-30,PAGE_VIEW,MOBILE
E00072,C0119,2026-04-04,PAGE_VIEW,MOBILE
E00073,C0101,2026-02-16,LOGIN,EMAIL
E00074,C0012,2026-05-30,CART,MOBILE
E00075,C0051,2026-02-22,PAGE_VIEW,MOBILE
E00076,C0021,2026-03-27,PRODUCT_VIEW,WEB
E00077,C0096,2026-05-02,SEARCH,MOBILE
E00078,C0082,2026-07-05,LOGIN,EMAIL
E00079,C0114,2026-02-26,LOGIN,WEB
E00080,C0071,2026-03-21,PRODUCT_VIEW,WEB
E00081,C0006,2026-08-09,SEARCH,EMAIL
E00082,C0051,2026-03-26,SEARCH,WEB
E00083,C0040,2026-06-18,LOGIN,WEB
E00084,C0053,2026-02-26,SEARCH,WEB
E00085,C0021,2026-06-24,PRODUCT_VIEW,EMAIL
E00086,C0107,2026-06-07,PRODUCT_VIEW,WEB
E00087,C0024,2026-02-20,SEARCH,WEB
E00088,C0109,2026-03-23,CART,EMAIL
E00089,C0071,2026-07-23,LOGIN,EMAIL
E00090,C0009,2026-06-07,PAGE_VIEW,WEB
E00091,C0093,2026-03-15,CART,MOBILE
E00092,C0046,2026-07-09,PRODUCT_VIEW,WEB
E00093,C0037,2026-03-05,PAGE_VIEW,WEB
E00094,C0041,2026-04-08,CART,MOBILE
E00095,C0079,2026-02-23,LOGIN,EMAIL
E00096,C0075,2026-07-02,SEARCH,EMAIL
E00097,C0047,2026-05-22,CART,WEB
E00098,C0001,2026-05-22,PRODUCT_VIEW,WEB
E00099,C0092,2026-02-27,CART,MOBILE
E00100,C0108,2026-05-10,PRODUCT_VIEW,EMAIL
E00101,C0094,2026-05-18,CART,MOBILE
E00102,C0058,2026-05-11,LOGIN,MOBILE
E00103,C0071,2026-07-14,PRODUCT_VIEW,EMAIL
