ticket_id,customer_id,ticket_date,category,ticket_status
T00001,C0109,2026-06-12,PRODUCT,RESOLVED
T00002,C0061,2025-12-03,PRODUCT,OPEN
T00003,C0083,2025-11-05,ACCOUNT,OPEN
T00004,C0048,2026-01-27,PRODUCT,OPEN
T00005,C0058,2026-07-19,PRODUCT,RESOLVED
T00006,C0060,2026-03-29,DELIVERY,RESOLVED
T00007,C0073,2026-07-10,DELIVERY,CLOSED
T00008,C0086,2026-06-22,PAYMENT,CLOSED
T00009,C0045,2025-11-06,ACCOUNT,CLOSED
T00010,C0030,2025-10-31,PAYMENT,RESOLVED
T00011,C0105,2025-11-16,ACCOUNT,CLOSED
T00012,C0088,2025-12-10,DELIVERY,RESOLVED
T00013,C0039,2026-07-01,ACCOUNT,CLOSED
T00014,C0005,2025-11-26,DELIVERY,OPEN
T00015,C0097,2025-12-24,DELIVERY,OPEN
T00016,C0028,2026-05-04,DELIVERY,OPEN
T00017,C0055,2026-07-01,ACCOUNT,OPEN
T00018,C0106,2025-09-23,DELIVERY,CLOSED
T00019,C0034,2026-02-28,PAYMENT,OPEN
T00020,C0050,2025-10-30,ACCOUNT,CLOSED
T00021,C0042,2026-03-22,ACCOUNT,OPEN
T00022,C0101,2025-08-17,ACCOUNT,OPEN
T00023,C0054,2026-05-26,DELIVERY,CLOSED
T00024,C0076,2025-10-16,PAYMENT,OPEN
T00025,C0073,2026-06-20,PRODUCT,CLOSED
T00026,C0113,2026-02-15,ACCOUNT,RESOLVED
T00027,C0050,2025-09-09,ACCOUNT,CLOSED
T00028,C0078,2025-12-11,PAYMENT,OPEN
T00029,C0036,2026-01-16,DELIVERY,CLOSED
T00030,C0078,2025-08-27,ACCOUNT,OPEN
T00031,C0051,2026-02-22,DELIVERY,OPEN
T00032,C0096,2025-12-10,PRODUCT,RESOLVED
T00033,C0003,2026-02-19,PRODUCT,RESOLVED
T00034,C0036,2025-12-02,PAYMENT,OPEN
T00035,C0018,2026-03-10,ACCOUNT,RESOLVED
T00036,C0035,2026-01-09,PAYMENT,OPEN
T00037,C0057,2026-04-24,ACCOUNT,CLOSED
T00038,C0063,2025-11-19,PRODUCT,OPEN
T00039,C0066,2026-05-21,PAYMENT,RESOLVED
T00040,C0091,2025-11-24,ACCOUNT,OPEN
T00041,C0100,2025-11-15,PAYMENT,OPEN
T00042,C0025,2026-04-30,PAYMENT,OPEN
T00043,C0005,2025-12-20,PAYMENT,RESOLVED
T00044,C0091,2026-05-01,PRODUCT,RESOLVED
T00045,C0106,2025-12-16,ACCOUNT,CLOSED
T00046,C0119,2026-06-08,PAYMENT,OPEN
T00047,C0048,2025-12-03,ACCOUNT,OPEN
T00048,C0112,2025-12-11,PRODUCT,RESOLVED
T00049,C0021,2026-03-31,PAYMENT,RESOLVED
T00050,C0004,2026-01-25,PAYMENT,OPEN
T00051,C0110,2025-10-22,DELIVERY,OPEN
T00052,C0083,2026-04-17,DELIVERY,RESOLVED
T00053,C0084,2026-01-13,PAYMENT,CLOSED
T00054,C0002,2025-12-11,DELIVERY,CLOSED
T00055,C0023,2025-10-07,PAYMENT,OPEN
T00056,C0033,2025-10-03,PRODUCT,CLOSED
T00057,C0091,2025-09-15,PRODUCT,RESOLVED
T00058,C0115,2026-01-30,PRODUCT,RESOLVED
T00059,C0033,2026-04-21,ACCOUNT,RESOLVED
T00060,C0087,2025-11-17,ACCOUNT,CLOSED
T00061,C0014,2026-08-07,PRODUCT,CLOSED
T00062,C0083,2025-10-10,PRODUCT,RESOLVED
