order_id,customer_id,order_date,order_amount,order_status
O00001,C0048,2026-03-18,5942.27,CANCELLED
O00002,C0079,2025-09-10,18748.45,CANCELLED
O00003,C0120,2025-09-05,4073.73,DELIVERED
O00004,C0034,2026-06-12,31195.09,DELIVERED
O00005,C0035,2026-03-19,21366.63,CANCELLED
O00006,C0027,2025-08-24,22381.21,CANCELLED
O00007,C0065,2025-12-03,9163.68,COMPLETED
O00008,C0012,2025-09-20,15113.36,CANCELLED
O00009,C0006,2026-08-09,12007.7,DELIVERED
O00010,C0082,2026-03-29,6074.58,PENDING
O00011,C0071,2025-08-14,-1200.0,COMPLETED
O00012,C0015,2026-07-03,33104.26,DELIVERED
O00013,C0070,2026-07-23,29293.53,DELIVERED
O00014,C0056,2026-06-06,1943.1,CANCELLED
O00015,C0116,2026-07-21,31512.9,DELIVERED
O00016,C0088,2026-04-05,23509.2,CANCELLED
O00017,C0100,2025-10-28,31002.65,PENDING
O00018,C0080,2026-05-23,32438.85,DELIVERED
O00019,C0111,2026-05-19,34179.11,DELIVERED
O00020,C0113,2026-01-11,1355.13,CANCELLED
O00021,C0101,2026-01-12,28177.11,DELIVERED
O00022,C0035,2026-05-21,27664.42,COMPLETED
O00023,C0049,2026-07-22,30121.47,DELIVERED
O00024,C0026,2025-12-18,12563.22,DELIVERED
O00025,C0029,2026-07-29,23271.14,PENDING
O00026,C0043,2026-03-21,30320.18,CANCELLED
O00027,C0045,2025-09-16,18074.5,CANCELLED
O00028,C0004,2026-06-12,30757.83,CANCELLED
O00029,C0023,2025-10-17,33707.43,CANCELLED
O00030,C0005,2026-06-16,21081.71,CANCELLED
O00031,C0094,2026-03-03,15555.59,COMPLETED
O00032,C0050,2025-10-19,7057.72,COMPLETED
O00033,C0091,2025-12-30,558.35,DELIVERED
O00034,C0047,2026-01-02,2914.1,CANCELLED
O00035,C0080,2026-03-03,23386.87,COMPLETED
O00036,C0093,2026-03-10,17995.73,PENDING
O00037,C0042,2026-01-16,24553.69,DELIVERED
O00038,C0025,2026-01-07,23440.07,PENDING
O00039,C0087,2026-05-13,21735.26,CANCELLED
O00040,C0052,2025-11-03,29263.52,CANCELLED
O00041,C0037,2026-04-25,15331.14,CANCELLED
O00042,C0060,2025-12-27,15754.51,DELIVERED
O00043,C0066,2025-12-11,27883.87,DELIVERED
O00044,C0085,2026-06-28,10290.63,CANCELLED
O00045,C0012,2026-04-12,23711.45,DELIVERED
O00046,C0104,2026-05-01,5583.71,COMPLETED
O00047,C0032,2025-12-10,21588.95,COMPLETED
O00048,C0059,2026-01-10,31071.72,DELIVERED
O00049,C0092,2025-08-19,13747.26,PENDING
O00050,C0032,2026-05-27,23134.0,COMPLETED
O00051,C0115,2026-06-17,27355.5,DELIVERED
O00052,C0023,2025-08-19,18369.54,COMPLETED
O00053,C0072,2026-04-05,32152.72,COMPLETED
O00054,C0059,2026-06-03,28148.87,CANCELLED
O00055,C0097,2025-12-27,21636.51,PENDING
O00056,C0107,2025-11-03,15884.02,DELIVERED
O00057,C0096,2025-12-10,16027.41,DELIVERED
O00058,C0108,2025-09-18,10067.24,PENDING
O00059,C0081,2026-04-10,9973.61,COMPLETED
O00060,C0092,2026-03-17,8590.03,CANCELLED
O00061,C0041,2025-11-07,3279.93,DELIVERED
O00062,C0030,2026-01-26,24441.27,DELIVERED
O00063,C0009,2026-01-10,14562.18,PENDING
O00064,C0054,2026-07-10,7635.79,PENDING
O00065,C0050,2025-10-15,33139.14,COMPLETED
O00066,C0110,2025-10-20,13623.15,COMPLETED
O00067,C0046,2026-03-11,26494.89,PENDING
O00068,C0069,2025-11-04,28095.45,DELIVERED
O00069,C0063,2026-04-20,9916.27,PENDING
O00070,C0004,2026-01-23,12096.47,PENDING
O00071,C0093,2026-05-18,29497.45,DELIVERED
O00072,C0080,2025-11-10,1430.34,PENDING
O00073,C0076,2025-10-26,23373.49,COMPLETED
O00074,C0083,2026-01-03,5181.63,PENDING
O00075,C0024,2026-07-16,9475.39,CANCELLED
O00076,C0028,2025-12-21,11776.18,PENDING
O00077,C0036,2026-01-07,9203.37,COMPLETED
O00078,C0061,2026-08-01,26341.34,COMPLETED
O00079,C0045,2026-04-18,22929.97,COMPLETED
O00080,C0097,2026-07-26,33261.6,DELIVERED
O00081,C0108,2026-07-31,21936.08,DELIVERED
O00082,C0017,2025-12-11,23596.33,DELIVERED
O00083,C0060,2025-08-17,9340.41,CANCELLED
O00084,C0022,2025-10-04,21450.04,COMPLETED
O00085,C0100,2026-05-19,33782.87,COMPLETED
O00086,C0075,2026-07-28,32546.61,PENDING
O00087,C0051,2026-05-01,3121.88,DELIVERED
O00088,C0014,2025-08-19,27150.59,COMPLETED
O00089,C0102,2025-10-25,27500.92,CANCELLED
O00090,C0069,2026-01-03,23322.49,COMPLETED
O00091,C0065,2025-09-13,12272.48,PENDING
O00092,C0106,2025-12-03,4141.09,CANCELLED
O00093,C0082,2025-12-18,24902.15,PENDING
O00094,C0023,2025-11-16,33808.84,CANCELLED
O00095,C0079,2025-11-08,27225.13,PENDING
O00096,C0056,2025-10-11,9759.65,DELIVERED
O00097,C0107,2026-06-27,10123.02,PENDING
O00098,C0032,2025-12-16,20159.81,PENDING
O00099,C0044,2026-07-27,17553.57,CANCELLED
O00100,C0024,2025-12-04,7818.13,CANCELLED
O00101,C0044,2026-03-20,30871.04,CANCELLED
O00102,C0072,2026-08-05,18323.64,DELIVERED
O00103,C0011,2026-04-09,25342.58,PENDING
O00104,C0072,2026-04-09,24326.02,PENDING
O00105,C0058,2026-08-02,3710.34,DELIVERED
O00106,C0052,2025-08-21,8894.03,CANCELLED
O00107,C0061,2025-10-31,18816.81,PENDING
O00108,C0096,2025-11-02,11912.3,PENDING
O00109,C0035,2026-03-07,9173.43,COMPLETED
O00110,C0093,2026-05-04,11386.4,DELIVERED
O00111,C0025,2026-04-22,25981.86,CANCELLED
O00112,C0093,2025-10-13,34192.94,CANCELLED
O00113,C0013,2026-05-03,10720.5,CANCELLED
O00114,C0023,2026-03-09,988.12,DELIVERED
O00115,C0036,2026-07-18,34113.18,CANCELLED
O00116,C0090,2026-06-07,22506.5,PENDING
O00117,C0014,2026-08-04,20305.22,PENDING
O00118,C0062,2025-12-28,12254.35,COMPLETED
O00119,C0033,2025-12-09,4436.01,COMPLETED
O00120,C0052,2025-12-02,3055.83,COMPLETED
O00121,C0020,2026-05-26,28484.4,CANCELLED
O00122,C0011,2026-04-05,4586.58,PENDING
O00123,C0078,2025-10-09,27780.56,DELIVERED
O00124,C0100,2025-11-16,13623.04,PENDING
O00125,C0039,2025-10-13,34656.08,CANCELLED
O00126,C0073,2025-09-27,2577.95,COMPLETED
O00127,C0098,2026-04-26,22080.27,CANCELLED
O00128,C0085,2026-06-30,5918.47,DELIVERED
O00129,C0071,2026-07-03,5900.38,PENDING
O00130,C0058,2025-08-23,20986.49,CANCELLED
O00131,C0005,2026-04-14,10439.62,CANCELLED
O00132,C0090,2025-12-21,2955.7,DELIVERED
O00133,C0119,2026-03-28,27680.07,DELIVERED
O00134,C0055,2026-06-13,19287.4,DELIVERED
O00135,C0117,2026-03-27,29018.78,COMPLETED
O00136,C0008,2026-05-18,27845.69,CANCELLED
O00137,C0057,2026-06-08,16670.08,CANCELLED
O00138,C0090,2026-01-16,33022.33,PENDING
O00139,C0057,2026-06-30,21132.26,PENDING
O00140,C0095,2026-02-26,21328.12,COMPLETED
O00141,C0012,2026-04-15,33685.93,COMPLETED
O00142,C0098,2025-08-31,28839.03,COMPLETED
O00143,C0098,2026-05-13,16732.28,PENDING
O00144,C0118,2026-03-21,6761.38,PENDING
O00145,C0082,2025-12-02,33932.41,PENDING
O00146,C0045,2026-01-13,11999.14,COMPLETED
O00147,C0110,2026-05-20,11878.23,PENDING
O00148,C0037,2025-09-05,33109.18,COMPLETED
O00149,C0059,2026-06-26,11350.84,CANCELLED
O00150,C0015,2026-01-16,30339.42,COMPLETED
O00151,C0085,2025-11-06,16438.18,COMPLETED
O00152,C0025,2025-11-18,12981.39,PENDING
O00153,C0081,2025-12-27,26719.67,DELIVERED
O00154,C0035,2025-11-02,5019.96,CANCELLED
O00155,C0057,2025-08-18,17222.56,COMPLETED
O00156,C0081,2025-10-03,28076.32,DELIVERED
O00157,C0040,2025-11-01,971.77,PENDING
O00158,C0012,2026-04-17,34732.87,COMPLETED
O00159,C0060,2026-06-11,22845.98,DELIVERED
O00160,C0064,2026-03-14,18056.08,CANCELLED
O00161,C0054,2025-12-06,34318.44,DELIVERED
O00162,C0059,2025-11-01,5490.15,DELIVERED
O00163,C0118,2025-10-08,18034.31,DELIVERED
O00164,C0111,2026-07-06,10030.54,PENDING
O00165,C0044,2025-11-24,9717.46,COMPLETED
O00166,C0037,2026-03-11,29392.92,PENDING
O00167,C0111,2026-05-26,15905.89,PENDING
O00168,C0045,2026-02-21,19541.15,PENDING
O00169,C0059,2026-02-27,30501.26,DELIVERED
O00170,C0074,2026-01-26,8557.9,PENDING
O00171,C0006,2026-03-01,26192.33,PENDING
O00172,C0050,2025-09-05,27837.58,DELIVERED
O00173,C0064,2026-07-23,4855.5,CANCELLED
O00174,C0112,2026-06-20,30659.57,PENDING
O00175,C0013,2025-11-14,31910.24,COMPLETED
O00176,C0093,2026-05-29,14644.26,DELIVERED
O00177,C0010,2025-12-13,27462.62,CANCELLED
O00178,C0044,2025-09-25,24398.31,COMPLETED
O00179,C0110,2026-02-23,29905.78,PENDING
O00180,C0041,2025-09-24,25295.75,PENDING
O00181,C0112,2025-11-06,1738.52,COMPLETED
O00182,C0031,2025-09-21,24111.79,CANCELLED
O00183,C0030,2026-06-25,15472.02,COMPLETED
O00184,C0098,2025-09-20,24784.23,COMPLETED
O00185,C0057,2026-05-17,24443.04,COMPLETED
O00186,C0006,2026-02-25,27966.95,CANCELLED
O00187,C0046,2026-01-31,15358.69,DELIVERED
O00188,C0068,2026-01-12,20024.52,DELIVERED
O00189,C0022,2026-05-13,3224.41,PENDING
O00190,C0080,2025-08-26,8808.63,DELIVERED
O00191,C0030,2025-12-17,22507.71,PENDING
O00192,C0033,2025-09-03,824.21,PENDING
O00193,C0116,2026-03-16,23877.58,DELIVERED
O00194,C0010,2025-12-27,33110.63,CANCELLED
O00195,C0082,2026-01-05,24315.82,PENDING
O00196,C0109,2026-03-09,7372.99,PENDING
O00197,C0110,2025-12-06,4179.54,PENDING
O00198,C0074,2026-02-08,20331.01,CANCELLED
O00199,C0003,2025-09-07,14155.3,COMPLETED
O00200,C0073,2025-08-24,27351.75,COMPLETED
O00201,C0117,2025-10-04,26208.44,CANCELLED
O00202,C0100,2026-04-15,21443.74,CANCELLED
O00203,C0029,2025-09-19,7059.55,CANCELLED
O00204,C0087,2025-09-07,23989.5,DELIVERED
O00205,C0081,2026-06-22,31667.43,COMPLETED
O00206,C0040,2025-12-28,1651.08,CANCELLED
O00207,C0094,2026-06-04,3609.6,CANCELLED
O00208,C0042,2026-01-10,6559.58,DELIVERED
O00209,C0101,2025-11-07,30737.89,CANCELLED
O00210,C0068,2025-11-27,32015.3,DELIVERED
O00211,C0033,2025-12-07,33874.75,CANCELLED
O00212,C0096,2026-02-18,28246.02,PENDING
O00213,C0010,2026-05-30,26518.23,DELIVERED
